Year_Q,Hours_watched
2016-Q1,1412771109
2016-Q2,1274241423
2016-Q3,1191282408
2016-Q4,1393207952
2017-Q1,1618583485
2017-Q2,1553191153
2017-Q3,1627940914
2017-Q4,1733866544
2018-Q1,2057272084
2018-Q2,2280568542
2018-Q3,2467164653
2018-Q4,2564325316
2019-Q1,2778290905
2019-Q2,2766973191
2019-Q3,2793953207
2019-Q4,2660989470
2020-Q1,3210132466
2020-Q2,5177352428
2020-Q3,4778789341
2020-Q4,5440699763
2021-Q1,6335030199
2021-Q2,6509943844
2021-Q3,5786001680
2021-Q4,5704716098
2022-Q1,6080474228
2022-Q2,5598708921
2022-Q3,5667600879
2022-Q4,5251675625
2023-Q1,5369495820
2023-Q2,5325972902
2023-Q3,5304039083
2023-Q4,5437030747
2024-Q1,5587015886
2024-Q2,5033902603
2024-Q3,5070803036
