Year_Q,Years_watched
2016-Q1,161165
2016-Q2,145362
2016-Q3,135898
2016-Q4,158933
2017-Q1,184643
2017-Q2,177184
2017-Q3,185711
2017-Q4,197794
2018-Q1,234688
2018-Q2,260161
2018-Q3,281447
2018-Q4,292531
2019-Q1,316939
2019-Q2,315648
2019-Q3,318726
2019-Q4,303558
2020-Q1,366203
2020-Q2,590617
2020-Q3,545151
2020-Q4,620659
2021-Q1,722682
2021-Q2,742636
2021-Q3,660050
2021-Q4,650778
2022-Q1,693643
2022-Q2,638685
2022-Q3,646544
2022-Q4,599096
2023-Q1,612537
2023-Q2,607572
2023-Q3,605069
2023-Q4,620241
2024-Q1,637351
2024-Q2,574253
2024-Q3,578463
